time                max{T}              x(max{T})           y(max{T})           z(max{T})           vx(max{T})          vy(max{T})          vz(max{T})          R(max{T})           vr(max{T})          T_center            max{Mach}           
1.7053731021e-02    9.2087617265e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0014204453e+05    -1.8023780404e+05   8.0673278437e+04    6.4777827937e+06    2.1105512485e+05    7.6048699901e+08    2.6243939782e-04    
1.8997942699e-02    9.2088965987e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0069039909e+05    -1.8014642748e+05   8.0852907434e+04    6.4777827937e+06    2.1146941896e+05    7.6048697770e+08    2.6227941199e-04    
2.1136575546e-02    9.2090452453e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0128994530e+05    -1.8001434408e+05   8.1059043139e+04    6.4777827937e+06    2.1190975201e+05    7.6048695068e+08    2.6210801599e-04    
2.3489071677e-02    9.2092125520e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0194575352e+05    -1.7984155471e+05   8.1293782815e+04    6.4777827937e+06    2.1238007824e+05    7.6048691170e+08    2.6192449484e-04    
2.6076817421e-02    9.2093970509e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0266431773e+05    -1.7962786928e+05   8.1559495132e+04    6.4777827937e+06    2.1288550016e+05    7.6048686422e+08    2.6172829227e-04    
2.8923337740e-02    9.2096005580e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0345264811e+05    -1.7937257339e+05   8.1858852814e+04    6.4777827937e+06    2.1343133747e+05    7.6048680646e+08    2.6151874780e-04    
3.2054510090e-02    9.2098251291e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0431877161e+05    -1.7907455444e+05   8.2194897028e+04    6.4777827937e+06    2.1402359842e+05    7.6048673368e+08    2.6129523980e-04    
3.5498799676e-02    9.2100730040e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0527172259e+05    -1.7873237490e+05   8.2570988390e+04    6.4777827937e+06    2.1466900819e+05    7.6048664475e+08    2.6105783050e-04    
3.9287518220e-02    9.2103466610e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0632184910e+05    -1.7834425660e+05   8.2990957574e+04    6.4777827937e+06    2.1537523581e+05    7.6048653701e+08    2.6080523985e-04    
4.3455108618e-02    9.2106486807e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0748089014e+05    -1.7790810089e+05   8.3459145147e+04    6.4777827937e+06    2.1615095812e+05    7.6048640326e+08    2.6053699047e-04    
4.8039458056e-02    9.2109820973e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0876229707e+05    -1.7742156804e+05   8.3980332017e+04    6.4777827937e+06    2.1700619537e+05    7.6048624121e+08    2.6025315400e-04    
5.3082242438e-02    9.2113506908e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.1018127288e+05    -1.7688208423e+05   8.4559850205e+04    6.4777827937e+06    2.1795231549e+05    7.6048604515e+08    2.5995254470e-04    
5.8629305259e-02    9.2117584210e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.1175521316e+05    -1.7628699011e+05   8.5203640734e+04    6.4777827937e+06    2.1900246026e+05    7.6048580569e+08    2.5963630892e-04    
6.4731074361e-02    9.2122110637e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.1350346056e+05    -1.7563328874e+05   8.5918363563e+04    6.4777827937e+06    2.2017121412e+05    7.6048549614e+08    2.5930891886e-04    
7.1443020374e-02    9.2127154713e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.1544963429e+05    -1.7491834899e+05   8.6710963799e+04    6.4777827937e+06    2.2147705408e+05    7.6048511566e+08    2.5896729444e-04    
7.8826160988e-02    9.2132743399e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.1761958881e+05    -1.7413907822e+05   8.7589998590e+04    6.4777827937e+06    2.2293985385e+05    7.6048465648e+08    2.5861459183e-04    
8.6947615663e-02    9.2138942962e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.2004382992e+05    -1.7329282576e+05   8.8564356153e+04    6.4777827937e+06    2.2458372787e+05    7.6048408600e+08    2.5825462583e-04    
9.5881215806e-02    9.2145806506e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.2275449589e+05    -1.7237602588e+05   8.9643796861e+04    6.4777827937e+06    2.2643372831e+05    7.6048336538e+08    2.5920886256e-04    
1.0570817596e-01    9.2153394444e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.2578980182e+05    -1.7138606596e+05   9.0839887584e+04    6.4777827937e+06    2.2852014676e+05    7.6048245920e+08    2.6103738073e-04    
1.1651783214e-01    9.2161882384e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.2919410529e+05    -1.7032010560e+05   9.2164655349e+04    6.4777827937e+06    2.3087862346e+05    7.6048136556e+08    2.6313105608e-04    
1.2840845393e-01    9.2171598626e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.3301267256e+05    -1.6917082114e+05   9.3632621822e+04    6.4777827937e+06    2.3354351667e+05    7.6048002915e+08    2.6552760956e-04    
1.4148813789e-01    9.2182639532e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.3731199326e+05    -1.6794846368e+05   9.5269715494e+04    6.4777827937e+06    2.3657024161e+05    7.6047842244e+08    2.6829240053e-04    
1.5587579026e-01    9.2194993507e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.4216352090e+05    -1.6665477651e+05   9.7091238349e+04    6.4777827937e+06    2.4001934231e+05    7.6047643859e+08    2.7148889891e-04    
1.7170220786e-01    9.2209031455e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.4765067825e+05    -1.6529652627e+05   9.9118468780e+04    6.4777827937e+06    2.4396190205e+05    7.6047404194e+08    2.7519485868e-04    
1.8911126723e-01    9.2224961124e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.5386769391e+05    -1.6387856136e+05   1.0137991187e+05    6.4777827937e+06    2.4847602104e+05    7.6047113335e+08    2.7949892230e-04    
2.0826123252e-01    9.2242980517e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.6092546406e+05    -1.6241597506e+05   1.0390629897e+05    6.4777827937e+06    2.5365729362e+05    7.6046762488e+08    2.8450918832e-04    
2.2932619435e-01    9.2263412727e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.6894785070e+05    -1.6092777177e+05   1.0673387654e+05    6.4777827937e+06    2.5961255847e+05    7.6046340179e+08    2.9034865941e-04    
2.5249765237e-01    9.2286675347e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.7808644984e+05    -1.5944278719e+05   1.0990169165e+05    6.4777827937e+06    2.6647586053e+05    7.6045825624e+08    2.9716753181e-04    
2.7798625618e-01    9.2313336620e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.8851218484e+05    -1.5799577166e+05   1.1346074399e+05    6.4777827937e+06    2.7439690641e+05    7.6045201839e+08    3.0513807760e-04    
3.0602372037e-01    9.2343968492e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    3.0043949273e+05    -1.5664069026e+05   1.1746513884e+05    6.4777827937e+06    2.8356961944e+05    7.6044453250e+08    3.1447473814e-04    
3.3686493099e-01    9.2379150545e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    3.1411418718e+05    -1.5544498103e+05   1.2198102849e+05    6.4777827937e+06    2.9421673411e+05    7.6043552599e+08    3.2863200603e-04    
3.7079026266e-01    9.2419683280e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    3.2981870189e+05    -1.5449344848e+05   1.2708289866e+05    6.4777827937e+06    3.0659683256e+05    7.6042446746e+08    3.5189543874e-04    
4.0810812750e-01    9.2469111746e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    3.4791947668e+05    -1.5392596022e+05   1.3285321327e+05    6.4777827937e+06    3.2105867992e+05    7.6041115897e+08    3.7892866976e-04    
4.4915777883e-01    9.2527935981e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    3.6902116755e+05    -1.5408693798e+05   1.3939590678e+05    6.4777827937e+06    3.3822171779e+05    7.6039508011e+08    4.1055429954e-04    
4.9431239529e-01    9.2597489737e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    3.9362654501e+05    -1.5509060286e+05   1.4685601522e+05    6.4777827937e+06    3.5853142813e+05    7.6037583055e+08    4.4781240765e-04    
5.4398247340e-01    9.2680854189e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    4.2245717591e+05    -1.5725423129e+05   1.5540495607e+05    6.4777827937e+06    3.8268447086e+05    7.6035288564e+08    4.9212604881e-04    
5.9861955931e-01    9.2779875449e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    4.5647564731e+05    -1.6101596449e+05   1.6533178283e+05    6.4777827937e+06    4.1159649037e+05    7.6032556717e+08    5.4550028400e-04    
6.5872035382e-01    9.2897306955e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    4.9687190217e+05    -1.6698823246e+05   1.7701508709e+05    6.4777827937e+06    4.4641433550e+05    7.6029291168e+08    6.1056221890e-04    
7.2483122778e-01    9.3035830550e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    5.4506226831e+05    -1.7595509182e+05   1.9096483512e+05    6.4777827937e+06    4.8850176430e+05    7.6025371201e+08    6.9099082603e-04    
